Code X_L2E Y_L2E
I0034110  472413.00 2429649.00
I0102010  463813.00 2429449.00
I0102020  466713.00 2443849.00
I0109910  464213.00 2430049.00
I0110131  644213.00 1791249.00
I0110481  643513.00 1790949.00
I0111651  641713.00 1787149.00
I0113010  464313.00 2440149.00
I0122010  470613.00 2448749.00
I0129910  477813.00 2450549.00
I0150351  639813.00 1789049.00
I0160931  643713.00 1792049.00
I0161571  641813.00 1790549.00
I0200051  644113.00 1792349.00
I0210021  642413.00 1794549.00
I0211010  480413.00 2472849.00
I0211019  480413.00 2472849.00
I0233110  463913.00 2486749.00
I0250351  642113.00 1799249.00
I0252061  636513.00 1778949.00
I0400661  637313.00 1801949.00
I0442611  634213.00 1806649.00
I0903210  452613.00 2489649.00
I0909910  449513.00 2487549.00
I1011010  448813.00 2427849.00
